id	label
0	antelope
1	anthropoid_ape
2	ape
3	aquatic_mammal
4	arctic
5	baleen_whale
6	bat
7	bear
8	beaver
9	behavior
10	big
11	big_cat
12	bipedal
13	bison
14	black
15	blue
16	blue_whale
17	bobcat
18	bodypart
19	bodysize
20	bovid
21	bovine
22	brown
23	brown_bear
24	buck_teeth
25	buffalo
26	bush
27	canine
28	carnivore
29	cat
30	cattle
31	cave
32	cetacean_mammal
33	chew_teeth
34	chihuahua
35	chimpanzee
36	claws
37	coastal
38	collie
39	colour
40	cow
41	dalmatian
42	deer
43	deer_family
44	desert
45	dog
46	dolphin
47	dolphin_family
48	domestic_cat
49	elephant
50	equine
51	even_toed
52	feline
53	fields
54	fish
55	flipper
56	flippers
57	flys
58	food
59	forager
60	forest
61	fox
62	furry
63	german_shepherd
64	giant_panda
65	giraffe
66	gorilla
67	gray
68	grazer
69	great_ape
70	grizzly_bear
71	ground
72	group
73	habitat
74	hairanimal
75	hamster
76	hands
77	hibernate
78	hippopotamus
79	hoofed_mammal
80	hooves
81	hops
82	horns
83	horse
84	humpback_whale
85	hunter
86	insectivore
87	insects
88	jungle
89	killer_whale
90	lagomorph
91	leg
92	leopard
93	leporid
94	lion
95	long_leg
96	long_neck
97	lynx
98	mammal
99	meat
100	meat_teeth
101	mole
102	monkey
103	moose
104	mountains
105	mouse
106	movement
107	muscle
108	musteline_mammal
109	neck
110	nestspot
111	nocturnal
112	ocean
113	odd_toed
114	orange
115	otter
116	outlook
117	ox
118	pads
119	patches
120	paws
121	persian_cat
122	pig
123	pinniped_mammal
124	placental_mammal
125	plains
126	plankton
127	polar_bear
128	primate
129	proboscidean
130	procyonid
131	quadrapedal
132	rabbit
133	raccoon
134	rat
135	red
136	rhinoceros
137	rodent
138	role
139	ruminant
140	scavenger
141	seal
142	sheep
143	shepherd_dog
144	siamese_cat
145	skimmer
146	skin
147	skunk
148	small
149	solitary
150	spider_monkey
151	spots
152	squirrel
153	stalker
154	strain_teeth
155	stripes
156	swims
157	swine
158	tail
159	teeth
160	texture
161	tiger
162	toothed_whale
163	tough_skin
164	toy_dog
165	tree
166	tunnels
167	tusks
168	vegetable
169	walks
170	walrus
171	water
172	weasel
173	whale
174	white
175	wildcat
176	wolf
177	working_dog
178	yellow
179	zebra
